epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,20.0912,0.84373,1.93027,1.32192,0.77849,0.39235,0.42031,0.28169,1.82715,2.4507,1.6533,2.82082e-05,2.82082e-05,2.82082e-05
40,20.6166,0.97623,1.25847,1.44253,0.77849,0.39235,0.42031,0.28169,1.82715,2.4507,1.6533,2.84911e-05,2.84911e-05,2.84911e-05
41,21.1794,0.72481,1.24412,1.10904,0.78147,0.38959,0.4174,0.28986,1.83456,2.46977,1.64653,2.87504e-05,2.87504e-05,2.87504e-05
42,21.6967,0.93239,1.26705,1.34699,0.78147,0.38959,0.4174,0.28986,1.83456,2.46977,1.64653,2.89861e-05,2.89861e-05,2.89861e-05
43,22.2852,0.54435,2.46671,1.13157,0.94786,0.39132,0.41617,0.28938,1.76446,2.42337,1.57344,2.91983e-05,2.91983e-05,2.91983e-05
44,22.8365,0.84837,1.14484,1.25432,0.94786,0.39132,0.41617,0.28938,1.76446,2.42337,1.57344,2.93869e-05,2.93869e-05,2.93869e-05
45,23.4625,0.6051,1.15569,1.1086,0.94984,0.39026,0.41626,0.28991,1.74165,2.42003,1.53653,2.9552e-05,2.9552e-05,2.9552e-05
46,23.975,0.80986,1.145,1.28512,0.94984,0.39026,0.41626,0.28991,1.74165,2.42003,1.53653,2.96935e-05,2.96935e-05,2.96935e-05
47,24.5473,0.7366,0.90768,1.13591,0.95351,0.38818,0.42137,0.32346,1.76826,2.51182,1.58999,2.98114e-05,2.98114e-05,2.98114e-05
48,25.0647,0.66774,0.9582,1.10227,0.95351,0.38818,0.42137,0.32346,1.76826,2.51182,1.58999,2.99058e-05,2.99058e-05,2.99058e-05
49,25.6478,0.89626,0.8999,1.20791,0.94837,0.38296,0.41784,0.32203,1.77937,2.49768,1.60068,2.99766e-05,2.99766e-05,2.99766e-05
50,26.1977,0.82865,0.85432,1.18729,0.94837,0.38296,0.41784,0.32203,1.77937,2.49768,1.60068,3.00238e-05,3.00238e-05,3.00238e-05
51,26.8525,0.7538,0.86383,1.1757,0.95089,0.38827,0.42338,0.32634,1.70012,2.31915,1.45595,3.00475e-05,3.00475e-05,3.00475e-05
52,27.3975,0.76917,1.10765,1.14527,0.95089,0.38827,0.42338,0.32634,1.70012,2.31915,1.45595,3.00476e-05,3.00476e-05,3.00476e-05
53,27.9362,0.6267,0.87002,1.13396,0.95089,0.38827,0.42338,0.32634,1.70012,2.31915,1.45595,3.00242e-05,3.00242e-05,3.00242e-05
54,28.5551,0.83632,1.37398,1.25078,0.94879,0.38794,0.42389,0.30993,1.70656,2.30762,1.45734,2.99772e-05,2.99772e-05,2.99772e-05
55,29.0511,0.79778,0.80286,1.11485,0.94879,0.38794,0.42389,0.30993,1.70656,2.30762,1.45734,2.99066e-05,2.99066e-05,2.99066e-05
56,29.7046,0.7452,1.1583,1.1162,0.94879,0.38794,0.42389,0.30993,1.70656,2.30762,1.45734,2.98125e-05,2.98125e-05,2.98125e-05
57,30.2668,0.6172,0.78488,1.06415,0.94932,0.38735,0.42355,0.31015,1.73225,2.42651,1.49484,2.96948e-05,2.96948e-05,2.96948e-05
58,30.7981,0.71488,0.73751,1.16762,0.94932,0.38735,0.42355,0.31015,1.73225,2.42651,1.49484,2.95535e-05,2.95535e-05,2.95535e-05
59,31.3605,0.80886,0.91409,1.20919,0.94932,0.38735,0.42355,0.31015,1.73225,2.42651,1.49484,2.93887e-05,2.93887e-05,2.93887e-05
60,31.8744,0.94675,1.3856,1.35543,0.96366,0.37982,0.42086,0.3084,1.73763,2.4793,1.51005,2.92003e-05,2.92003e-05,2.92003e-05
61,32.4613,0.58782,0.80988,1.05601,0.96366,0.37982,0.42086,0.3084,1.73763,2.4793,1.51005,2.89884e-05,2.89884e-05,2.89884e-05
62,32.9765,0.57174,0.66226,1.05881,0.96366,0.37982,0.42086,0.3084,1.73763,2.4793,1.51005,2.87529e-05,2.87529e-05,2.87529e-05
63,33.5308,1.12924,1.43654,1.55768,0.96865,0.38333,0.42246,0.30094,1.71978,2.43814,1.47851,2.84938e-05,2.84938e-05,2.84938e-05
64,34.1886,0.69676,0.93142,1.0996,0.96865,0.38333,0.42246,0.30094,1.71978,2.43814,1.47851,2.82112e-05,2.82112e-05,2.82112e-05
65,34.832,0.80238,0.8724,1.13119,0.96865,0.38333,0.42246,0.30094,1.71978,2.43814,1.47851,2.7905e-05,2.7905e-05,2.7905e-05
66,35.4621,0.60747,0.66954,1.13881,0.97175,0.38057,0.42552,0.30066,1.73691,2.41885,1.47447,2.75753e-05,2.75753e-05,2.75753e-05
67,36.0179,0.64666,0.62433,1.02925,0.97175,0.38057,0.42552,0.30066,1.73691,2.41885,1.47447,2.7222e-05,2.7222e-05,2.7222e-05
68,36.7397,0.81346,1.03024,1.22479,0.97175,0.38057,0.42552,0.30066,1.73691,2.41885,1.47447,2.68451e-05,2.68451e-05,2.68451e-05
69,37.2797,0.66219,0.81662,1.09598,0.95977,0.38333,0.42594,0.29991,1.74124,2.46925,1.46912,2.64447e-05,2.64447e-05,2.64447e-05
70,37.8878,1.0902,1.60839,1.36767,0.95977,0.38333,0.42594,0.29991,1.74124,2.46925,1.46912,2.60207e-05,2.60207e-05,2.60207e-05
71,38.6013,0.54839,0.5898,0.99472,0.95977,0.38333,0.42594,0.29991,1.74124,2.46925,1.46912,2.55731e-05,2.55731e-05,2.55731e-05
72,39.1524,0.62313,0.56834,0.96822,0.91069,0.38333,0.42482,0.30031,1.72869,2.46147,1.45818,2.5102e-05,2.5102e-05,2.5102e-05
73,39.7486,0.63952,0.91667,1.10169,0.91069,0.38333,0.42482,0.30031,1.72869,2.46147,1.45818,2.46073e-05,2.46073e-05,2.46073e-05
